日期,收盘,开盘,高,低,交易量,涨跌幅
2020年8月26日,11462.30 ,11324.90 ,11533.60 ,11254.60 ,513.06K,1.21%
2020年8月25日,11324.80 ,11752.90 ,11766.90 ,11131.00 ,594.07K,-3.65%
2020年8月24日,11753.50 ,11641.60 ,11824.60 ,11587.10 ,429.13K,0.96%
2020年8月23日,11641.60 ,11661.10 ,11705.40 ,11520.80 ,377.33K,-0.17%
2020年8月22日,11661.30 ,11529.20 ,11677.00 ,11382.10 ,433.98K,1.15%
2020年8月21日,11529.20 ,11856.90 ,11877.40 ,11495.60 ,506.38K,-2.76%
2020年8月20日,11856.90 ,11751.00 ,11881.00 ,11672.70 ,430.93K,0.91%
2020年8月19日,11750.20 ,11944.40 ,12013.20 ,11602.60 ,550.26K,-1.65%
2020年8月18日,11947.60 ,12283.00 ,12381.40 ,11842.00 ,606.79K,-2.73%
2020年8月17日,12282.60 ,11898.80 ,12444.10 ,11764.00 ,628.41K,3.22%
2020年8月16日,11899.00 ,11845.50 ,11922.50 ,11688.90 ,410.81K,0.45%
2020年8月15日,11845.30 ,11751.10 ,11964.00 ,11711.50 ,499.10K,0.80%
2020年8月14日,11750.80 ,11771.10 ,11835.50 ,11651.50 ,435.44K,-0.17%
2020年8月13日,11770.90 ,11557.20 ,11772.90 ,11298.40 ,545.67K,1.85%
2020年8月12日,11557.20 ,11390.40 ,11605.40 ,11190.60 ,549.59K,1.46%
2020年8月11日,11390.40 ,11889.20 ,11931.80 ,11146.70 ,615.90K,-4.19%
2020年8月10日,11889.20 ,11681.10 ,12041.10 ,11546.90 ,564.11K,1.78%
2020年8月9日,11681.20 ,11764.40 ,11792.80 ,11527.50 ,303.00K,-0.71%
2020年8月8日,11764.30 ,11591.60 ,11805.50 ,11533.50 ,317.06K,1.49%
2020年8月7日,11592.00 ,11757.10 ,11901.80 ,11352.40 ,517.00K,-1.40%
2020年8月6日,11757.10 ,11735.00 ,11898.40 ,11563.00 ,554.85K,0.19%
2020年8月5日,11735.10 ,11184.80 ,11771.50 ,11114.50 ,570.83K,4.92%
2020年8月4日,11184.70 ,11223.80 ,11407.80 ,11043.00 ,485.79K,-0.35%
2020年8月3日,11224.40 ,11066.90 ,11461.10 ,10981.60 ,470.24K,1.42%
