日期,开盘,收盘,高,低,涨跌幅
2015年5月27日,237.8,237.3,238.9,235.9,-0.0023
2015年5月28日,237.3,237.3,238.4,236.2,0
2015年5月29日,237.3,237,237.9,235.1,-0.0012
2015年5月2日,233.2,235.3,236.4,231.7,0.0091
2015年5月30日,237,233.2,237.1,231.6,-0.0161
2015年5月31日,233.2,229.8,234,229.1,-0.0145
2015年5月3日,235.3,240,243.6,233.8,0.0198
2015年5月4日,240,239,243.2,237.4,-0.0043
2015年5月5日,239,235.8,239.6,231.8,-0.0132
2015年5月6日,235.8,230,237.1,228.2,-0.0246
2015年5月7日,230,237.7,240.3,228.3,0.0335
2015年5月8日,237.7,243.7,247,235.8,0.0253
2015年5月9日,243.7,241.4,247.9,238.5,-0.0096
2015年6月10日,229.6,228.8,230.4,227.8,-0.0034
2015年6月11日,228.8,229.9,230.6,228.5,0.0048
2015年6月12日,229.9,230.5,231.6,229.3,0.0025
2015年6月13日,230.5,232.5,233.1,229,0.0088
2015年6月14日,232.5,233.8,235.5,232.1,0.0055
2015年6月15日,233.8,237,238.6,233.3,0.0139
2015年6月16日,237,249.8,254.1,235.7,0.0541
2015年6月17日,249.8,247.4,258.5,245.1,-0.0098
2015年6月18日,247.4,248.4,251.9,242.5,0.0043
2015年6月19日,248.4,244.1,250.8,243.6,-0.0173
2015年6月1日,229.8,223.1,231.8,221,-0.0292
2015年6月20日,244.1,245,246.6,238.7,0.0035
2015年6月21日,245,244.1,246,240.9,-0.0036
2015年6月22日,244.1,247.5,248.6,243.2,0.0138
2015年6月23日,247.5,243.8,247.7,242.3,-0.015
2015年6月24日,243.8,240.6,244.5,239.1,-0.0131
2015年6月25日,240.6,242.6,243.6,239.3,0.0083
2015年6月26日,242.6,242.9,243.5,240.1,0.0016
2015年6月27日,242.9,250.7,251.6,241.8,0.032
2015年6月28日,250.7,248.9,251.6,246.6,-0.0074
2015年6月29日,248.9,257,257.5,248,0.0325
2015年6月2日,223.1,225.7,227.4,222.3,0.0117
2015年6月30日,257,264.1,268.7,255.4,0.0278
2015年6月3日,225.7,225.6,227.9,223.7,-0.0007
2015年6月4日,225.6,224.2,226.7,223.5,-0.0061
2015年6月5日,224.2,225.3,226.4,222.1,0.0048
2015年6月6日,225.3,224.7,225.8,223.5,-0.0024
2015年6月7日,224.7,223.5,226.4,222.2,-0.0057
2015年6月8日,223.5,228.6,229.9,223,0.0228
2015年6月9日,228.6,229.6,231.4,227.5,0.0043
2015年7月10日,269.1,283.6,297.9,266.9,0.0538
2015年7月11日,283.6,292,298.8,282.3,0.0294
2015年7月12日,292,310.4,315.9,291.3,0.0633
2015年7月13日,310.4,290.4,310.9,276.9,-0.0647
2015年7月14日,290.4,287,297,285.2,-0.0117
2015年7月15日,287,283.4,292.9,283.2,-0.0123
2015年7月16日,283.4,276.6,290.8,273.3,-0.0241
2015年7月17日,276.6,279.6,280.8,271.2,0.011
2015年7月18日,279.6,274,282.5,243.2,-0.0199
2015年7月19日,274,273.2,277.1,271.9,-0.0032
2015年7月1日,264.1,257.6,265,254.4,-0.0246
2015年7月20日,273.2,277.7,278.9,271.8,0.0165
2015年7月21日,277.7,275.1,281,274.2,-0.0093
2015年7月22日,275.1,276.5,277.4,273.1,0.005
2015年7月23日,276.5,275.5,277.9,274.5,-0.0034
2015年7月24日,275.5,288.4,289.8,274.3,0.0466
2015年7月25日,288.4,288.7,291.2,284.7,0.0013
2015年7月26日,288.7,291.8,293.3,286.8,0.0105
2015年7月27日,291.8,293,295.8,285.4,0.0042
2015年7月28日,293,293.7,296.7,291.7,0.0024
2015年7月29日,293.7,288.4,294.7,286.9,-0.0181
2015年7月2日,257.6,254.9,261.3,253.1,-0.0106
2015年7月30日,288.4,287,289.9,284.9,-0.0047
2015年7月31日,287,283.7,288.7,280.8,-0.0115
2015年7月3日,254.9,255.4,256.7,252.4,0.002
2015年7月4日,255.4,260.5,261.1,253.4,0.0202
2015年7月5日,260.5,270.1,274.1,257.6,0.0368
2015年7月6日,270.1,269.1,277.5,266.5,-0.0039
2015年7月7日,269.1,266.2,271.3,263.2,-0.0107
2015年7月8日,266.2,268.6,273.6,263.2,0.0091
2015年7月9日,268.6,269.1,272.3,265.1,0.0019
2015年8月10日,263.9,263.3,266.6,260.5,-0.0022
2015年8月11日,263.3,269,269.9,261.4,0.0218
2015年8月12日,269,267.7,271.5,263.7,-0.0051
2015年8月13日,267.7,263.4,268.4,261.3,-0.0158
2015年8月14日,263.4,265,267.2,260.2,0.006
2015年8月15日,265,260.5,266.5,259.4,-0.017
2015年8月16日,260.5,257.1,261.9,254.6,-0.0131
2015年8月17日,257.1,257.1,259.9,252.9,0
2015年8月18日,257.1,246.7,257.5,245.7,-0.0405
2015年8月19日,246.7,226,247.9,214.3,-0.084
2015年8月1日,283.7,280.5,284.5,276.3,-0.0115
